date,real_price,random_walk_constante,rf_recursivo_desde_2009,xgboost_recursivo_desde_2009,rf_recursivo_desde_2018,xgboost_recursivo_desde_2018,rf_recursivo_desde_2024,xgboost_recursivo_desde_2024
2025-04-11,3168.4633,2613.165,2660.182421500101,2836.132345381842,2687.6497758007663,2844.6810469166103,3082.872709209061,2860.613158032623
2025-04-14,3235.1017,2613.165,2660.842107354208,2839.5423546271804,2688.7175949134025,2848.46384581225,3089.086550079482,2868.8690503756634
2025-04-15,3208.55,2613.165,2661.5019568006396,2842.956463879725,2689.7858382768723,2852.06185908337,3095.5951748376215,2873.7342832141326
2025-04-16,3228.485,2613.165,2662.161969879964,2846.3746780690985,2690.8545060597326,2855.4376423121057,3102.421055151636,2877.4108069386234
2025-04-17,3336.1667,2613.165,2662.82214663276,2849.7970021308506,2691.923598430608,2859.0628457893245,3109.6160799507493,2884.5739703480112
2025-04-21,3317.85,2613.165,2663.4824870996163,2853.2234410064652,2692.99311555819,2862.549163644394,3116.6221270730493,2892.426884176007
2025-04-22,3423.715,2613.165,2664.1429913211314,2856.653999643368,2694.0630576112367,2866.764531655213,3123.3383404941724,2898.400616143021
2025-04-23,3387.0833,2613.165,2664.803659337914,2860.0886829949327,2695.1334247585733,2870.0616870594718,3129.633743925634,2902.4866916500073
2025-04-24,3282.6933,2613.165,2665.464491190583,2863.5274960204893,2696.2042171690928,2874.4321580590104,3136.227800563218,2907.571557270202
2025-04-25,3336.3367,2613.165,2666.1254869197674,2866.97044368533,2697.2754350117543,2877.7381322398223,3143.14327703706,2909.2616253855854
2025-04-28,3292.2467,2613.165,2666.786646566106,2870.417530960717,2698.347078455585,2882.2280114515765,3150.4327433678454,2914.5907233879802
2025-04-29,3345.0367,2613.165,2667.4479701702476,2873.8687628238904,2699.4191476696783,2885.5429518868054,3157.530751510388,2913.396724214229
2025-04-30,3318.34,2613.165,2668.109457772852,2877.324144258074,2700.4916428231954,2890.0450082654434,3164.3351216092487,2916.976386064738
2025-05-02,3302.9583,2613.165,2668.7711094145875,2880.783680252483,2701.5645640853645,2893.3689392727983,3170.7131581878034,2914.386314075249
2025-05-05,3228.4967,2613.165,2669.4329251361337,2884.247375802332,2702.637911625481,2897.8832058444636,3177.3937680793615,2915.579708377242
2025-05-06,3319.845,2613.165,2670.0949049781802,2887.715235908841,2703.7116856129082,2899.5064970012636,3184.400016747695,2910.949284513729
2025-05-07,3415.3283,2613.165,2670.757048981426,2891.1872655792436,2704.7858862170756,2902.319035668716,3191.785164244922,2907.1606053564333
2025-05-08,3388.0267,2613.165,2671.4193571865812,2894.6634698267935,2705.8605136074807,2904.291140993379,3198.976340483409,2905.0957975973015
2025-05-09,3308.3317,2613.165,2672.0818296343655,2898.1438536707724,2706.935567953688,2906.5003611370166,3205.8700244001006,2904.346719536889
2025-05-12,3338.5583,2613.165,2672.7444663655083,2901.6284221364967,2708.0110494253295,2909.1069440428855,3212.331778764258,2904.6205835981436
2025-05-13,3224.875,2613.165,2673.407267420749,2905.117180255325,2709.086958192105,2911.210934577371,3219.100078003425,2905.1025743947534
2025-05-14,3248.8517,2613.165,2674.0702328408383,2908.01793107141,2710.1632944237813,2915.034311574632,3226.198290337484,2904.052546666009
2025-05-15,3175.935,2613.165,2674.733362666536,2911.5143715836844,2711.240058290193,2918.910664808162,3233.680374907304,2903.4958730802323
2025-05-16,3224.0417,2613.165,2675.396656938612,2915.015016023357,2712.317249961241,2922.597662389204,3240.965942161451,2903.508333532721
2025-05-19,3188.5533,2613.165,2676.060115697847,2918.5198694449987,2713.3948696068956,2926.0569338428063,3247.9501122246306,2904.1289359547227
2025-05-20,3232.2767,2613.165,2676.723738985031,2922.0289369092575,2714.4729173971928,2929.771794084866,3254.4966832498117,2904.0271534054405
2025-05-22,3287.3467,2613.165,2677.387526840965,2925.542223482866,2715.5513935022373,2933.344333853287,3261.3538228425296,2904.7499918902417
2025-05-23,3295.2383,2613.165,2678.0514793064594,2929.059734238649,2716.6302980922014,2937.663954290443,3268.54520595274,2907.0793715913132
2025-05-26,3364.225,2613.165,2678.715596422335,2932.5814742555303,2717.7096313373245,2941.042653334551,3276.1254999862667,2912.7271110635625
2025-05-27,3342.6233,2613.165,2679.379878229422,2936.1074486185403,2718.789393407914,2945.521212691919,3283.506697227772,2917.7629026146465
2025-05-28,3302.1167,2613.165,2680.044324768562,2939.6376624188238,2719.8695844743443,2948.908948614262,3290.5825411540227,2926.663034454411
2025-05-29,3301.19,2613.165,2680.708936080606,2943.172120753646,2720.950204707058,2953.50986932953,3297.2150421394304,2934.9832539766094
2025-05-30,3320.3267,2613.165,2681.373712206415,2946.710828726402,2722.031254276566,2956.906793255322,3304.1621881996875,2940.2233658276828
2025-06-02,3294.02,2613.165,2682.0386531868608,2950.253791446621,2723.112733353446,2961.5201922972283,3311.447965040946,2944.2621996657203
2025-06-03,3375.2083,2613.165,2682.7037590628247,2953.8010140299784,2724.1946421083435,2964.9263291455927,3319.1277576306334,2951.9487362368272
2025-06-04,3352.4967,2613.165,2683.369029875198,2957.352501598298,2725.2769807119726,2969.5522403570662,3326.6058400938755,2960.0596726903514
2025-06-05,3378.7533,2613.165,2684.034465664883,2960.908259279563,2726.3597493351144,2971.2156779592806,3333.774561189688,2965.117309820215
2025-06-06,3353.5033,2613.165,2684.7000664727916,2964.468292207922,2727.4429481486186,2974.0977749617336,3340.494120047635,2970.1871232594353
2025-06-09,3317.6167,2613.165,2685.365832339846,2968.032605523696,2728.526577323402,2976.118653433738,3347.5324539957733,2976.3019794571132
