date,real_price,random_walk_constante,rf_recursivo_desde_2009,rf_recursivo_desde_2018,rf_recursivo_desde_2024
2025-09-26,3740.3167,2613.165,2735.093436235658,2809.9214967160706,3932.3184295115243
2025-09-29,3780.8267,2613.165,2735.7716989122932,2811.03789510481,3941.178046746808
2025-09-30,3828.2017,2613.165,2736.45012978803,2812.1547370452163,3949.671149796633
2025-10-01,3845.9767,2613.165,2737.1287289045795,2813.2720227135146,3957.632110345544
2025-10-02,3866.3383,2613.165,2737.8074963036624,2814.3897522860007,3965.9707379363895
2025-10-03,3845.2167,2613.165,2738.486432027011,2815.5079259390404,3974.7158225023836
2025-10-06,3883.625,2613.165,2739.165536116366,2816.6265438490695,3983.933842366207
2025-10-07,3956.115,2613.165,2739.844808613481,2817.745606192594,3992.9097504893043
2025-10-08,3982.245,2613.165,2740.524249560118,2818.8651131461897,4001.5143335802786
2025-10-09,4051.6417,2613.165,2741.20385899805,2819.985064886503,4009.5797892947817
2025-10-10,3959.9483,2613.165,2741.88363696906,2821.1054615902503,4018.0278692897136
2025-10-13,3984.03,2613.165,2742.563583514942,2822.226303434218,4026.887741393496
2025-10-14,4106.4917,2613.165,2743.2436986775,2823.3475905952632,4036.2267565199118
2025-10-15,4148.4867,2613.165,2743.923982498549,2824.4693232503128,4045.3204819591356
2025-10-16,4193.1733,2613.165,2744.604435019913,2825.5915015763644,4054.038008372642
2025-10-17,4291.935,2613.165,2745.2850562834283,2826.7141257504854,4062.209330850996
2025-10-20,4209.594,2613.165,2745.9658463309393,2827.8371959498145,4070.7682999167355
2025-10-21,4345.332,2613.165,2746.6468052043024,2828.96071235156,4079.7444662537223
2025-10-22,4109.9983,2613.165,2747.327932945384,2830.084675133,4089.206064820428
2025-10-23,4058.2533,2613.165,2748.009229596061,2831.2090844714844,4098.4191540399115
2025-10-24,4133.355,2613.165,2748.6906951982196,2832.3339405444326,4107.25110626429
2025-10-27,4118.375,2613.165,2749.372329793758,2833.4592435293353,4115.529685108284
2025-10-28,4008.53,2613.165,2750.054133424584,2834.584993603753,4124.200998769167
2025-10-29,3963.545,2613.165,2750.7361061326155,2835.711190945317,4133.294985811583
2025-10-30,3992.0883,2613.165,2751.4182479597816,2836.8378357317292,4142.880776842617
2025-11-03,4003.745,2613.165,2752.100558948021,2837.964928140762,4152.214796605304
2025-11-04,4007.4017,2613.165,2752.783039139283,2839.0924683502585,4161.162676587963
2025-11-05,3960.6233,2613.165,2753.465688575528,2840.2204565381326,4169.549919639228
2025-11-06,3981.8217,2613.165,2754.1485072987257,2841.3488928823685,4178.33505252473
2025-11-07,3979.66,2613.165,2754.831495350857,2842.477777561022,4187.548406781196
2025-11-10,3999.2867,2613.165,2755.514652773913,2843.607110752218,4197.2600204205655
2025-11-11,4097.7567,2613.165,2756.1979796098954,2844.736892634154,4206.716558054652
